"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Colombia","COL","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.19731","49.15431","49.05125","48.91352","48.77607","48.76201","48.66888","48.79316","49.30409","49.44434","49.49847","49.61477","49.66803","50.38049","48.94379","48.33472","45.72538","50.61758","52.57228","53.4258","53.57505","53.20792","52.36416","51.53576","51.07928","51.15214","51.11336","51.40633","49.58216","50.82073","50.90773","",
"Comoros","COM","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.79478","68.62982","68.6715","69.12222","69.27888","69.66401","69.80064","70.09932","70.39139","70.0107","70.08094","70.12844","70.13777","70.07259","68.8202","67.62648","66.30931","65.17471","64.02792","62.91706","61.77793","60.76668","59.54766","58.56828","58.75835","58.80013","58.86646","58.89856","59.03748","59.49736","58.78015","",
"Cabo Verde","CPV","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.66399","51.60855","51.61808","51.18114","50.66801","50.13508","49.56752","48.81347","47.98589","46.7555","46.2736","45.9043","45.82404","45.37101","45.02703","44.54741","43.44697","42.43196","42.02673","41.67913","41.22775","40.91389","40.70114","40.56827","40.23026","36.31804","33.79322","31.85987","31.8224","32.01235","31.26436","",
"Costa Rica","CRI","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.35422","28.07566","28.10228","28.13678","28.61758","28.78062","30.0847","29.06004","29.03746","29.23901","31.16938","31.70003","30.53045","31.23317","28.58899","29.30588","26.95642","27.13034","27.31805","24.80964","22.16472","22.74268","25.50141","24.40061","24.31304","23.44055","24.31157","25.12898","26.64136","26.60932","26.16002","",
"Caribbean small states","CSS","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0307535987757","34.1466851855534","33.3976567091089","33.1081458209488","32.1464496518711","32.2037071249364","31.7184342036992","31.5062753462702","31.7246381685921","31.4489256452592","31.223737484723","30.2630668606623","30.1249408981809","29.8673343289452","29.3087941537089","29.4725648176261","28.6557731971417","29.8925715266449","30.1306409866822","30.2408201860035","30.3637086208658","30.2248976706708","30.5113957550496","30.4022730826791","30.7764892206673","31.0399363381451","31.108158204204","31.2213712110013","31.6147958533849","31.9040733405151","31.4846583199603","",
"Cuba","CUB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.876821","7.097801","7.459764","7.568962","7.695957","7.39525","8.421056","9.594655","11.06231","11.59154","12.80453","12.8527","13.89896","14.19595","13.8846","12.60253","11.9091","12.16807","11.65719","11.82465","18.53257","20.50711","21.63128","23.08545","24.16249","25.60213","26.89953","27.22146","27.73702","27.37885","27.00584","",
"Curacao","CUW","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.78707","25.61053","25.52345","25.38314","25.1218","25.05705","24.96144","24.79533","24.53393","24.24253","23.66169","23.03601","23.68233","23.68616","23.22275","21.48917","20.34398","19.94603","19.77714","18.55208","17.94564","16.60301","17.55824","17.88816","14.9287","14.28177","13.188","13.27897","13.65303","13.78229","12.11751","",
"Czechia","CZE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.59296","8.908584","9.294215","10.47291","11.87022","12.11025","12.17301","13.43302","14.48311","15.00302","15.29723","15.87661","17.40702","16.93747","16.01984","16.13839","16.17249","16.12217","16.76659","17.72503","18.05003","18.41438","17.86284","17.99313","17.33857","17.15964","17.12043","16.94413","16.80095","16.88611","15.89911","",
"Germany","DEU","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.670242","10.03405","10.33253","10.63319","10.72177","10.63866","10.91107","10.97929","10.7974","10.87375","11.13338","11.09072","11.36741","12.07025","12.36458","12.13885","11.99218","11.65489","11.59071","11.57138","11.66577","11.57275","11.19602","10.95597","10.75314","10.42453","10.19986","9.900441","9.606781","9.255651","8.313309","",
